row ID,row m/z,row retention time,0_AR_Blk_C18_Pos.mzML Peak area,1_AR_Arnica_C18_Pos.mzML Peak area,2_AR_Cinchona_C18_Pos.mzML Peak area,3_AR_Ginkgo_C18_Pos.mzML Peak area,4_AR_Panax_C18_Pos.mzML Peak area,5_AR_Salvia_C18_Pos.mzML Peak area
165,333.15106981158200,12.9068965,0.0,21208234.855911000,464240.8378435550,2790228.361273140,2814865.4153099700,0.0
166,311.0891120971170,2.679311975,0.0,12696087.233808600,0.0,23663.121784798600,5601.1666281678800,6076.124161054860
167,203.1792546568460,10.4404075,3954.299401201380,20918124.626488500,1639131.5894259300,959901.487176087,443876.3628046890,42405701.81603930
168,452.16844895255400,5.64815705,0.0,21694560.2238775,20598.211669936500,14123.195714115100,9185.417492578500,0.0
169,237.08128453688400,3.4473599000000000,0.0,17883675.368678500,0.0,0.0,19335.40926309350,0.0
170,335.15164625241000,12.912051600000000,0.0,21701230.187755300,343819.7655323420,3734439.7320972800,4000131.7150860700,21229.575528047600
171,230.64609345209000,13.26734,4590.8716428221500,23492029.273723200,131733.29136662000,10845.707600859300,4059.966941894790,12937.72845339830
172,380.0945723043250,0.1788649333333330,0.0,5045685.610312590,0.0,65920.25512288120,277977.56943825000,0.0
173,318.3007797403040,9.368184900000000,372109.78178827400,14855262.73619250,12701210.04014680,268334.0744510830,1504515.1425189400,914605.7469018600
174,323.22160956364500,11.3995272,0.0,22551985.17462290,12805.66812878960,56332.50357026200,4870.103491874730,87960.92061011540
175,376.19385482579300,13.913151833333300,3787.225932070240,23085564.35909250,2309208.8431547000,740220.8301131200,26196791.42708070,232574.0173673520
176,719.3767698763590,7.305696000000000,0.0,15757102.987825700,12043.083670242100,0.0,130862.4502328360,0.0
177,324.28971764600900,11.888868333333300,51270.996351973400,17033560.554511900,475748.3571611740,341988.9927914630,4032233.7585023400,317730.55792639900
178,477.1391716758360,4.564095433333330,2176.3524266705100,12631442.859410100,0.0,0.0,0.0,977888.8527831100
179,394.2583536522520,7.344989900000000,0.0,17315711.545671900,0.0,0.0,0.0,65768.14776097170
180,265.14275610505700,2.72735805,71301.17610875100,12721802.596532800,7665.094351230350,504466.96068819800,4616.510717285130,44267.783682890900
181,421.14712613116000,5.6621971250000000,0.0,19773552.639835300,6540.246697280210,6469.316097064510,0.0,13182.857368827700
182,254.60886864941400,7.48896075,0.0,18280197.781297,0.0,0.0,0.0,1133802.0300388700
183,485.1756754979770,2.1740207500000000,0.0,10865549.498107500,0.0,9204.481589871150,0.0,0.0
184,316.2846897522840,8.595285483333330,7692.184228406550,15337961.51254480,1562957.1204670600,31212.992766309600,2607929.779290540,327234.94141582900
185,376.19376139518200,13.909512166666700,3787.225932070240,9723963.016969500,2496044.526823280,975901.1554343000,26802606.615953200,466357.5491054300
186,732.5615532000870,17.657845000000000,0.0,21019952.7479106,253530.6981126530,0.0,23690499.69395200,1290339.437581870
187,478.3375820784200,8.499530375,0.0,16515670.110715900,526981.0790316740,0.0,2924221.2549964800,40813.630888869300
188,407.31548525055600,16.54119875,0.0,22493428.926861700,539560.4890822830,1001269.7858163300,0.0,216173.8813545110
189,542.3214874572150,10.51284375,0.0,14033158.02518340,342382.14855586500,1429954.6466315800,289501.7518593770,0.0
190,335.18543206339000,8.902699375000000,0.0,18464044.41303860,9389.738386240190,0.0,5221.253681704080,16067377.551100800
191,329.1373657038670,4.33696845,0.0,16005981.608152700,4310.896322680890,1537662.1716057100,0.0,214044.1333851210
192,493.0973947608620,2.91339085,0.0,16522135.871864100,0.0,0.0,0.0,246152.98923039900
193,347.16993663277600,0.8484867400000000,0.0,9624978.294726750,0.0,10584.684027389000,0.0,8654.974285564400
194,449.1781711569700,2.68262905,0.0,10901816.267326800,14075.797545468600,8093.9542310154800,0.0,8104.582416374800
195,331.24826661894900,5.2912524250000000,0.0,12294582.512483100,0.0,42474.7170734852,5297.891124843810,11289597.36742600
